GPE	NORP	ORG	PERSON
		Aging/Health Advisory Council	
		Dental Health Foundation	
		Hollywood Sunset Free Clinic  Hospital and Health Workers	
		California School Employees Association	
		Associated California Health Centers, Inc. Association for Los Angeles	
		Family Medical Group  FHP Health Care  Gay & Lesbian Community Services Ctr	
		Health Access  My	
		Social Workers	
		United Scenic Artists	
		Healing Alternatives Foundation	
		California State Pipe Trades	
		California Trial Lawyers Association Carondelet Health System 	
		Community Health Group	
		California Chapter  Nat'l Council of Senior Citizens	
		Judith Bell	
		California Organization for Associate Degree Nurses	
		California State Association of Counties	
		Health Rights in Central America Comm	
		Retirees	
		Retiree CH	
		Butte County Health Care Coalition	
		LA West	
		California Legislative Council	
		SF Community Clinic Consortium	
		Local	
		Alameda Health Consortium	
		NAACP	
		Los Angeles Health Access	
		Medicare	
		Jewish Famiiy & Children’s Services	
		California Commission on Aging	
		United Auto Workers Region	
		Vote Health Coalition 	
		Anderson Valley Health Center  Arlington Medical Group	
		California Federation of Teaches	
		Trimed Corp.	
		UC Public Health	
		Advocacy Institute	
		California Council of Churches	
		Center for Independent Living  Chemical Dependency Center for Women	
		Hungry Women's	
		Hermanson's Employment Services  Hill Country Community Clinic	
		LA Homeless Health Care Project	
		Screen Actors Guild	
		United Nurses Associations	
		T.V. and Radio Artists	
		Presidio Group	
		Society of Public Health Educators ‘South Central Family Health Center  So	
		SEIU State Council	
		Labor Committee	
		Sacramento Valley Health Care	
		Santa Barbara Women's Political Committee	
		CA	
		HMO Abuses	
		Health Access California	
		the Health Care Patient Protection Act	
