GPE	ORG	PERSON	NORP
	Department	Mick Grey	
	Senate	Napa County Sheriff	
	the Habitat Conservation Fund	Larry Carpenter	
	Proposition	Gordon Van Vleck	
	HCF	County Sheriff-Coroner	
	Legislature	Family Water Alliance	
	the Department of Fish	Don Neal	
	the Department of Fish and Game	Siskiyou County Sheriff	
	Property	Pete Wilson	
	Department	Harvey S. NyLand	
	Response	Tom Sawyer	
	Page 6	Richard Nutting	
	State	Dan Lungren	
	the Lee Vining Canyon	Wayne Long	
	Department	Se	
	the Round Valley School		
	Department		
	the Department		
	the Department's		
	Wildlife Committee		
	Senate		
	Wildlife Management Division		
	the Natural Resources		
	Habitat Conservation		
	Reallocate		
	the State Fish and Game Commission		
	Mountain Lions		
	Department		
	Require the State Department of Fish and Game		
	Require the Department		
	Legislature		
	the Department of Fish and Game		
	SUITE		
	State		
	Department		
	the California Mountain Lion  OQ Ofthe		
	the department		
	Senate		
	Assembly		
	the Big Horn Sheep		
	the California Farm Bureau		
	the State Department of Fish and Game		
	the Department		
	Legislature		
	the California Woolgrowers Association		
	the Department of Fish		
	the California Cattlemen's Association		
	SUITE		
	Department		
	SUITE		
	Game Commission		
	Senate		
	the National Rifle Association		
	the California Cattlemen’s Association		
	California Farm Bureau		
	the Department of Fish and Game		
	Commission		
	California Cattlemen's		
	Plumas County Board of Supervisors		
	Calaveras County Board of Supervisors		
	United Forest Families  Partial Listing  CALIFORNIANS FOR BALANCED		
	Imperial County Sheriff-Coroner		
	Colusa County Sheriff		
	California State Resources Agency		
	California Farm Bureau		
	Kern County Board of Supervisors		
	Agriculture		
	California State Chamber of Commerce Ecologists		
	Trinity County Sheriff		
	California State Sheriffs’ Association		
	Humboldt County Board of Supervisors		
	U.S. Department of Agriculture		
	California Agricultural Commissioners Assoc		
	Department of Fish and Game’ 		
	Wildlife Ecology California Forrestry Association		
	SUITE		
	Calaveras County Sheriff		
	Author of Predation Quentin Van Nortwictz		
	Mountain Lion Management		
	American Animal Welfare Foundation		
	Tuolumne County Board of Supervisors		
	the California Resource Conservation Commission		
	Placer County Board of Supervisors		
	Lassen County Board of Supervisors		
	Mule Deer Foundation		
	Mariposa County Board of Supervisors		
	Colusa County Board of Supervisors		
	Rocky Mountain Elk Foundation		
	California State Association of Counties		
	Mountain Lions		
	Final Votes Cast		
	Game Commission		
	Ayes		
	Senate		
	the Habitat Conservation Fund		
	Assembly		
	Legislative Analyst’s		
	Game Department		
	Legislature		
	Legislative Initiative Amendment		
	MOUNTAIN LIONS		
	the Habitat Conservation Fund		
	HCF		
	Game Commission		
	the California Wildlife Protection Act		
	Requires the Department of Fish and Game		
	Authorizes the Department of Fish and Game		
	General Fund		
	the Legislative Analyst		
	Legislature		
	the Department of Fish		
