GPE	ORG	PERSON	NORP
	the Family and Medical Leave Act		
	the American Federation of Teachers		
	Washington Times		
	the National Rifle Association		
	NRA		
	Associated Press		
	The Washington Post		
	House		
	the Conservative Political Action Conference		
	Medicare		
	Wall Street Journal		
	Congress		
	Medicaid		
	New York Times		
	Social Security		
	Senate		
	Medicare & Medicaid  &		
	American Business Conference		
	Office of National Health Statistics		
	the American Federation of Teachers		
	National Council of Senior Citizens		
	the American Conservative Union		
	Social Security		
	The American Federation of Teachers		
	The American Federation of Teachers		
	KNOW		
	AFT Locals		
	/nternet		
	League of Women Voters		
	State Federations and Executive Council		
	the White House		
	EMS		
	AFT		
	The American Federation of Teachers		
	FUTURE		
	EDUCATION		
	ON ONE		
	MEDICARE		
	Medicare		
	Question #4		
	Medicaid		
	the U.S. Senate		
	Senate		
	Congress		
	Tuition Tax		
	EEOC		
	the Higher Education Amendments		
	the Consumer Protection Agency’s		
	the Public Service Jobs Program		
	Congress		
	Tenens		
	Medicare		
	Question #4		
	Medicaid		
	the U.S. Senate		
	Senate		
	the Family and Medical Leave Act		
	Senate		
	the U.S. Senate		
	Question #4		
	ENDORSED CANDIDATE		
	Safe and Drug-Free Schools		
	FBI		
	the Safe and Drug-Free Schools		
	AFT Local		
	U.S. Department of Education		
	the American Federation of Teachers		
