ORG	PERSON	GPE	NORP
The Permanente Medical Group, Inc.	Malik Hasan HSI		
UNFAIR	Employer		
HMO	Jamie Court		
State Senate Judiciary Committee	Betty Woolfson		
L.A. Times	Chuck Idelson		
California Superior Court	Grandmother		
Kaiser	Jamie Court		
Kaiser Justice System’s	Carley		
the Civil Justice System	Harry Christie		
Arbitration	Chuck Idelson		
HMOs	Julia A. Hallisy		
Department of Corporations	Katherine Hallisy		
HMO California	Katherine Eileen		
The Wisconsin CUB	Chuck Idelson		
Consumer Boards	Lr ee		
the Department of Corporations	Palizs		
DOC	¢ S.d0ra		
The Department of Corporations	Jamie Court		
HMO			
California Medical Association			
Soan Health			
Knox-Keene Health Plan Expenditures Summary			
Business Weekly			
The Illinois CUB			
L.A. Times			
National Health			
NECESSARY			
CUB			
HMOs			
the Dangerous Short Staffing of Health Facilities			
Orange County Register			
The Information Superhighway			
PCN			
Wall Street Journal			
IMamelates Public Disclosure of Health oan			
HMOs			
HMO			
Trove For Budding Industry			
AID			
PacifiCare			
Varivax			
L.A. Times			
FoxMeyer			
Prohibit			
Breach			
FDA			
Informat			
WellPoint Health Networks			
Columbia/HCA			
Medicare			
Wall Street Journal			
Monopolization 1 396			
Hospital			
San Diego Union Tribune			
Institute for Health & Socio-Economic Policy			
Health Systems, Inc.			
U.S. Healthcare			
Time			
Blue Cross			
U.S. Healthcare, Inc.			
treasury			
HMOs			
Health Systems International			
Health Net			
the Federal government’s			
HMO			
L.A. Times			
Cross			
Aetna Life & Casualty, Inc.			
Big Medicine			
New York Times			
Wall Street Journal			
the California Medical Association			
Alan Hoops PacifiCare			
Health Corp. 			
Institute for Health & Socio			
CMA			
Health 'Corp.			
U.S. Healthcare			
TakeCare			
health care dollars			
Modern Healthcare			
Kaiser Permanente			
The U.S. Health Care Industry			
L.A. Times			
HMOs			
HSI			
Knox-Keene			
Health Net			
KEEPS HMO INDUSTRY HONEST			
HMO			
National Health Program			
Humana, Inc.			
L.A. Times			
Columbia			
Humana			
Health Systems			
Health Systems  Foundation			
Daniel Crowley Foundation			
OUTLOOK			
FLAP			
JENNIFER SAUER			
FRONT COVER			
COVER			
NITA			
Consumers and Nurses for Patient Protection/			
CA 90405			
the health insurance company			
Hospitals			
Public Media Center			
HMO			
The California Nurses Association			
the Department of Health Services			
Consumers and Nurses for Patient Protection/			
HMOs			
Please			
U.S. Healthcare			
FHP			
Institute for Health & Socio-Economic Policy			
Taxpayer and Consumer Rights			
Health Net			
Daniel Crowley Foundation Health Corp.			
Alan Hoops PacifiCare Health Systems			
TakeCare			
Consumers and Nurses for Patient Protection			
The U.S. Health Care Industry			
the California Nurses Association			
CA			
HMO Casualty			
HMOs			
HMO			
Federal Court			
UCLA Medical Center			
UCLA			
State Fine, Binding Arbitration Limits Patient's Rights  Carley Christie Woodside			
HMO Casualty			
HMO Denies			
HMO			
meclica!			
HMO Casualty			
HMO			
the State of California insurance commission			
NURSES			
Teid			
Katherine			
