GPE	NORP	ORG	PERSON
		the Federal Government	
		Philip Morris	
		CareNet	
		House	
		the Natural Law Party	
		The Natural Law Party	
		Education	
		the Natural Law Party’s	
		PROBLEM	
		the Natural Law Party	
		The Natural Law Party	
		U.N.	
		Social Science Perspectives Journal	
		PROBLEM	
		the Natural Law Party	
		The Natural Law Party	
		the U.S. Department of Defense	
		Joint Chiefs of Staff	
		Congress	
		Transcendental	
		NATO	
		Foreign Affairs	
		TM-Sidhi	
		PROBLEM	
		Pentagon	
		the Natural Law Party	
		The Natural Law Party	
		International Journal of the	
		the Natural Law Party	
		Natural Law Party	
		Congress	
		Navy	
		Air Force Times	
		The Journal of Creative Behavior	
		the U.S. Justice Department	
		U.S. Naval Institute Proceedings	
		Seawolf	
		TM-Sidhi	
		Journal of Conflict Reso-	
		Psycho- somatic	
		G-2	
		The Natural Law Party	
		Natural Law Party	
		International Journal of Addictions	
		Journal of Addictions	
		Education	
		Transcendental Meditation	
		Transcen-	
		the Federal Bureau of Investigation	
		the Drug Enforcement Administration	
		the Natural Law Party	
		The Natural Law Party	
		GUN CONTROL  THE NATURAL LAW PARTY	
		the Natural Law Party’s	
		the Natural Law Party	
		The Natural Law Party	
		The Presidential Ticket	
		Transcendental	
		the Stanford Linear Accelerator Center	
		the European Laboratory for Particle Physics	
		Party	
		Harvard	
		Maharishi European Research University	
		the Institute of Science	
		Times-Mirror	
		National Merit Scholar	
		Institute	
		Presidential Scholar	
		the Institute of Science, Technology and Public Policy	
		quantum	
		Harvard University	
		the Natural Law Party	
		LAW	
		Natural Law Party	
		the Federal Government	
		the U.S. Constitution	
		PROBLEM	
		the Natural Law Party	
		The Natural Law Party	
		Maharishi	
		Society	
		Transcendental	
		Yogi, Life Supported	
		Weiner	
		Chicago: University of Chicago Press	
		Life Sciences	
		Dissertation Abstracts International	
		MIU Press	
		Justice	
		Archives of General Psychiatry	
		Modern Science and Vedic Science 1:29-87	
		Journal of Clinical Psychology	
		MVU Press	
		Individual Differences	
		Journal of Counseling and Development	
		Maharishi	
		University Press of Vir- ginia	
		Scientific Research	
		Absolute Theory of Government	
		the International Symposium	
		Maharishi Vedic University Press	
		Moral Education	
		the Natural Law Party	
		TM-Sidhi Program	
		Theory of Government: Automation	
		TM-Sidhi Yogic Flying	
		Project Review Board	
		The Natural Law Party	
		Mechanisms of Neuron Death	
		Abstracts International	
		MERU Press	
		EEG	
		TM	
		MIT Press	
		Simon & Schuster	
		The Journal of Creative Behavior	
		Visa/MasterCard	
		Institute of	
		The Journal of Mind and Behavior	
		the Federal Election	
		Modern Science and Vedic Science 1:29-87	
		MIU Press	
		International Journal of Neuroscience	
		Technology and Public Policy	
		Maharishi	
		Maharishi Foundation, Ltd.	
		D.V.	
		The Journal of Mind	
		Journal of Behavioral Medicine	
		EL 2 Federal	
		Edwards	
		Natural Law Party	
		Technical Report	
		See Institute	
		Contributions	
		the Natural Law Party	
		Party Chair	
		The Natural Law Party	
		Rehabilitation	
		the Federal Government	
		Capital Punishment	
		the Rights of Women and Minorities	
		the Natural Law Party	
		The Natural Law Party	
		Medicare	
		Natural Law Party	
		Transcendental	
		Medicaid	
		the Natural Law Party’s	
		The Natural Law Party	
		Natural Law Party	
		PAC	
		Allocate	
		the Federal Government	
		Improve	
		the Electoral College	
		Uphold	
		Natural Law Party	
		Board	
		Congress	
		the Federal Reserve Board	
		the Internal Revenue Service	
		Education	
		IRS	
		the Natural Law Party’s	
		PROBLEM	
		Kemp	
		the Natural Law Party	
		The Natural Law Party	
		Medicare	
		Natural Law Party	
		N.A. N.A.	
		CA	
		Medicaid	
		Stanford	
		Mandatory  Social Security	
		Hoover Institute	
		Social Security	
		Net Interest	
		Civilian/Military Retire	
		Fed	
		Congressional Budget Office	
		United States Government Budget	
		NLP Flat Tax:	
		the Natural Law Party	
